,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLR : Statewise List of Works,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State: Madhya Pradesh     District : All Districts           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: All Loan Numbers   Scheme : PMGSY 3   Sub Scheme : All,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Note : All Costs are in Lakhs and All Lengths are in Kms.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr.No.,District Name,Programme Implementation Unit,Block Name,Package No.,Sanctioned Year,Work Type,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,Sanction Cost,State Cost,Road Length (Kms),Bridge Length (Mtrs),Road Length Completed Till Date,Expenditure Till Date,,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,,,
,11,Agar ,DPIU of Agar2,Barod,MP51BR311,2021 - 2022,LSB,Local Nalla at RD 3604  M.,Upgarde,,,,118.56,47.42,0.000,30.400,0,117.33,,Completed,Regular PMGSY,KCC INFRA PRIVATE LIMITED [12 Aug 2021],1.20,Financial: 21-03-2025/ Physical: 30-01-2025,,,
,12,Agar ,DPIU of Agar2,Barod,MP51BR311,2021 - 2022,LSB,Local Nalla at RD 2736 M.,Upgarde,,,,59.74,23.90,0.000,21.400,0,47.56,,Completed,Regular PMGSY,KCC INFRA PRIVATE LIMITED [12 Aug 2021],0.60,Financial: 21-03-2025/ Physical: 23-10-2024,,,
,13,Agar ,DPIU of Agar2,Barod,MP51BR304,2023 - 2024,LSB,HIGH LEVEL BRIDGE AT CH. 1280 M ON MRL01-BINAYGA AGAR TO RANAYARA KELWA ROAD AAO RIVER,Upgarde,,,,918.99,506.27,0.000,210.000,0,823.41,,Completed,Regular PMGSY,SHUBHAM CONSTRUCTION [03 Oct 2023],9.19,Financial: 26-06-2025/ Physical: 30-03-2025,,,
,14,Agar ,DPIU of Agar2,Nalkheda,MP51706,2021 - 2022,ROAD,T04-Indore KotaRoad To Semalkhedi,Upgarde,"Digon [ 1250092], Lalu Khedi [ 1250116], Lolki [ 1250122], Semalkhedi [ 1250150]",Indore KotaRoad To Semalkhedi,,467.13,196.33,7.900,0.000,7.86,253.82,,Maintenance,Regular PMGSY,JAGDISH PATEL [12 Aug 2021],26.42,Financial: 13-03-2025/ Physical: 27-10-2024,,,
,15,Agar ,DPIU of Agar2,Nalkheda,MP51707,2021 - 2022,ROAD,T01-Nalkheda Chapiheda Road(Bhandawat) To  Ladon Gokulpur Road,Upgarde,"Bhandawad [ 1250074], Goyal [ 1250099]",Nalkheda Chapiheda Road(Bhandawat) To  Ladon Gokulpur Road,,459.32,190.99,8.676,0.000,8.709,208.42,,Maintenance,Regular PMGSY,JAGDISH PATEL [12 Aug 2021],27.16,Financial: 31-01-2024/ Physical: 28-12-2023,,,
,16,Agar ,DPIU of Agar2,Nalkheda,MP51708,2021 - 2022,ROAD,MRL12-Siya To Susner Zirapur Badagaon RoadRoad,Upgarde,"Godalmau [ 1250096], Siya [ 1250153]",Siya To Susner Zirapur Badagaon RoadRoad,,651.74,271.14,8.700,0.000,8.617,465.03,,Maintenance,Regular PMGSY,SACHIN MORYA CONSTRUCTION [11 Aug 2021],41.39,Financial: 16-01-2023/ Physical: 31-08-2022,,,
,17,Agar ,DPIU of Agar2,Nalkheda,MP51709,2021 - 2022,ROAD,MRL06-Nalkheda Kanad Road To Amla Chapiheda Road,Upgarde,"Lasudiya Kelwa [ 1250118], Najar Kheda [ 1250127]",Nalkheda Kanad Road To Amla Chapiheda Road,,327.44,137.76,5.650,0.000,5.34,108.75,,Maintenance,Regular PMGSY,"AYAAN CONSTRUCTION [10 Nov 2021], RAMESHWAR RATHORE [03 Mar 2023]",18.74,Financial: 31-07-2025/ Physical: 26-06-2025,,,
,18,Agar ,DPIU of Agar2,Nalkheda,MP51713,2021 - 2022,ROAD,MRL02-Agar Sarangpur Road To Dehripal Gondalmau Badagaon,Upgarde,"Godalmau [ 1250096], Madhoupur [ 1250123]",Agar Sarangpur Road To Dehripal Gondalmau Badagaon,,"1,362.76",564.90,16.500,0.000,16.378,"1,005.57",,Maintenance,Regular PMGSY,"M/S Ram Prasad Rathore, Machalpur [15 Sep 2021]",88.15,Financial: 30-10-2023/ Physical: 20-09-2023,,,
,19,Agar ,DPIU of Agar2,Nalkheda,MP51BR306,2021 - 2022,LSB,Local Nallha at Ch. 4050 M.,Upgarde,,,,140.66,56.26,0.000,46.400,0,121.73,,Completed,Regular PMGSY,Shree Construction [12 Aug 2021],1.40,Financial: 14-05-2023/ Physical: 24-03-2023,,,
,20,Agar ,DPIU of Agar2,Nalkheda,MP51BR307,2021 - 2022,LSB,Local Nallha at Ch. 1925 M.,Upgarde,,,,123.50,49.40,0.000,46.400,0,101.49,,Completed,Regular PMGSY,Aastha Construction [11 Aug 2021],1.25,Financial: 31-03-2023/ Physical: 10-02-2023,,,
