,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLR : Statewise List of Works,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State: Madhya Pradesh     District : All Districts           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: All Loan Numbers   Scheme : PM-JANMAN   Sub Scheme : All,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Note : All Costs are in Lakhs and All Lengths are in Kms.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr.No.,District Name,Programme Implementation Unit,Block Name,Package No.,Sanctioned Year,Work Type,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,Sanction Cost,State Cost,Road Length (Kms),Bridge Length (Mtrs),Road Length Completed Till Date,Expenditure Till Date,,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,,,
,10,Anuppur ,DPIU Of Anuppur,Annupur,MP46PMJM022,2024 - 2025,ROAD,L030-Chilpa PMGSY road to Amha tola,New,Amha tola [ 1518385],Chilpa PMGSY road to Amha tola,Amha tola [ 1518385]  { 614} ,75.68,31.26,1.150,0.000,0,6.60,,Subbase / GSB Stage,Regular PMGSY,M/S VIMAL BUILDCON CONSTRUCTION SHAHDOL [17 Nov 2025],2.57,Financial: -/ Physical: -,,,
,11,Anuppur ,DPIU Of Anuppur,Annupur,MP46PMJM022,2024 - 2025,ROAD,L031-Padaur PMGSY road to Baigan tola,New,Baigan Mohalla [ 1518379],Padaur PMGSY road to Baigan tola,Baigan Mohalla [ 1518379]  { 572} ,125.32,50.20,2.100,0.000,0,35.88,,Agreement,Regular PMGSY,M/S VIMAL BUILDCON CONSTRUCTION SHAHDOL [17 Nov 2025],5.91,Financial: -/ Physical: -,,,
,12,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM01,2023 - 2024,ROAD,L022- Chhulkari road Kharbana tola,New,Kahrbana tola [ 1442291], Chhulkari road Kharbana tola,Kahrbana tola [ 1442291]  { 201} ,110.46,44.31,1.600,0.000,1.6,36.97,,Subbase / GSB Stage,Regular PMGSY,"M/S P K TRIPATHI, ANUPPUR [06 Jun 2024]",5.75,Financial: -/ Physical: -,,,
,13,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM07,2024 - 2025,ROAD,L023-Kukurgoda (W.No. 12) to Belha tola,New,Belha tola [ 1442299],Kukurgoda (W.No. 12) to Belha tola,Belha tola [ 1442299]  { 456} ,162.58,65.20,2.680,0.000,0,16.71,,Subbase / GSB Stage,Regular PMGSY,M/S NARENDRA SINGH [26 Dec 2024],8.77,Financial: -/ Physical: -,,,
,14,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM07,2024 - 2025,ROAD,L021-Agriyanar to Pachripani,New,Pachripani [ 1442276],Agriyanar to Pachripani,Pachripani [ 1442276]  { 178} ,184.89,75.37,3.100,0.000,0,0.00,,Pending - Forest Clearance,Regular PMGSY,M/S NARENDRA SINGH [26 Dec 2024],11.12,Financial: -/ Physical: -,,,
,15,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM015,2024 - 2025,ROAD,L025-Bhelma PMGSY road to Dongritola,New,Baigan mohalla Dongri tola [ 1484977],Bhelma PMGSY road to Dongritola,Baigan mohalla Dongri tola [ 1484977]  { 207} ,54.49,21.87,0.900,0.000,0,6.55,,Subbase / GSB Stage,Regular PMGSY,Maa Sharda Construction [06 Mar 2025],3.20,Financial: -/ Physical: -,,,
,16,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM015,2024 - 2025,ROAD,L026-Jaithari Jhaital road to Bhariyantola,New,Jhaital [ 461603],Jaithari Jhaital road to Bhariyantola,Jhaital [ 461603]  { 1460} ,138.42,59.19,1.900,0.000,0,13.79,,Agreement,Regular PMGSY,Maa Sharda Construction [06 Mar 2025],7.02,Financial: -/ Physical: -,,,
,17,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM015,2024 - 2025,ROAD,L024-Bhagatbandh PS School to Dhanwar tola (Baiga Basti),New,Dhanwar Baigan tola [ 1484786],Bhagatbandh PS School to Dhanwar tola (Baiga Basti),Dhanwar Baigan tola [ 1484786]  { 394} ,116.61,48.91,1.850,0.000,0,8.20,,Subbase / GSB Stage,Regular PMGSY,Maa Sharda Construction [06 Mar 2025],6.31,Financial: -/ Physical: -,,,
,18,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM022,2024 - 2025,ROAD,L029-Cholna PWD road to Baigan tola,New,BAIGANTOLA [ 1442301],Cholna PWD road to Baigan tola,BAIGANTOLA [ 1442301]  { 964} ,39.77,15.98,0.600,0.000,0,0.00,,Agreement,Regular PMGSY,M/S VIMAL BUILDCON CONSTRUCTION SHAHDOL [17 Nov 2025],1.79,Financial: -/ Physical: -,,,
,19,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM023,2024 - 2025,ROAD,L028-Thodipani PMGSY Road to Gattatola Via upartola,New,Gatta tola [ 1442297],Thodipani PMGSY Road to Gattatola Via upartola,Gatta tola [ 1442297]  { 803} ,193.62,78.08,3.250,0.000,0,0.00,,Agreement,Regular PMGSY,M/S NARENDRA SINGH [22 Jan 2026],8.95,Financial: -/ Physical: -,,,
,20,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM024,2024 - 2025,ROAD,L030-Dhiraul PMGSY road to Akmaniya tola,New,Akmaniya tola [ 1518384],Dhiraul PMGSY road to Akmaniya tola,Akmaniya tola [ 1518384]  { 454} ,137.60,55.75,2.200,0.000,0,45.51,,Subbase / GSB Stage,Regular PMGSY,"M/S P K TRIPATHI, ANUPPUR [25 Nov 2025]",6.99,Financial: -/ Physical: -,,,
,21,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM023,2024 - 2025,ROAD,L039-Pondi PMGSY road to Upartola,New,UPARTOLA [ 1518392],Pondi PMGSY road to Upartola,UPARTOLA [ 1518392]  { 455} ,80.89,33.06,1.150,0.000,0,0.00,,Agreement,Regular PMGSY,M/S NARENDRA SINGH [22 Jan 2026],3.49,Financial: -/ Physical: -,,,
,22,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM024,2024 - 2025,ROAD,L041-Manpur PMGSY road to Baigan tola,New,Baigan Basti [ 1442433],Manpur PMGSY road to Baigan tola,Baigan Basti [ 1442433]  { 466} ,57.82,24.12,0.925,0.000,0,16.30,,Subbase / GSB Stage,Regular PMGSY,"M/S P K TRIPATHI, ANUPPUR [25 Nov 2025]",2.58,Financial: -/ Physical: -,,,
,23,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM022,2024 - 2025,ROAD,L040-Khanda Panchayat Bhawan to Mahuhar tola,New,Mahuhar tola [ 1442393],Khanda Panchayat Bhawan to Mahuhar tola,Mahuhar tola [ 1442393]  { 506} ,78.62,33.07,1.320,0.000,0,27.56,,Agreement,Regular PMGSY,M/S VIMAL BUILDCON CONSTRUCTION SHAHDOL [17 Nov 2025],4.29,Financial: -/ Physical: -,,,
,24,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM024,2024 - 2025,ROAD,L042-Chhulkari PWD road to Sontola Baigan tola Kolmi,New,Sontola Baigan mohalla [ 1442426],Chhulkari PWD road to Sontola Baigan tola Kolmi,Sontola Baigan mohalla [ 1442426]  { 616} ,102.93,43.09,1.620,0.000,0,25.30,,Subbase / GSB Stage,Regular PMGSY,"M/S P K TRIPATHI, ANUPPUR [25 Nov 2025]",4.65,Financial: -/ Physical: -,,,
,25,Anuppur ,DPIU Of Anuppur,Jaithari,MP46PMJM024,2024 - 2025,ROAD,L034-Mohari Higher Secondary School to Pitching tola,New,MOUHARI PITCHINGTOLA [ 1518393],Mohari Higher Secondary School to Pitching tola,MOUHARI PITCHINGTOLA [ 1518393]  { 370} ,96.77,45.15,1.350,0.000,0,0.00,,Subbase / GSB Stage,Regular PMGSY,"M/S P K TRIPATHI, ANUPPUR [25 Nov 2025]",4.06,Financial: -/ Physical: -,,,
